     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      850779.000;      953870.700;      865312.306;       25090.314 ( 2.900 %);     88.169
       IKJ;         234.375;           0.229;           0.000;        100;         10;      136058.500;      306329.900;      158137.303;       33655.073 (21.282 %);    482.454
       IEX;         234.375;           0.229;           0.000;        100;         10;      136651.800;      336830.600;      172555.339;       52380.239 (30.356 %);    442.142
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      434128.800;      543140.200;      466632.521;       40567.576 ( 8.694 %);    163.499
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      749886.600;      851514.700;      793349.561;       41420.763 ( 5.221 %);     96.167
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      135573.800;      242165.400;      150676.236;       28302.988 (18.784 %);    506.344
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      660000.500;     1211386.600;      748472.127;      124034.667 (16.572 %);    101.933
