     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      926247.000;     1019988.200;      934609.739;       17356.496 ( 1.857 %);     81.632
       IKJ;         234.375;           0.229;           0.000;        100;         10;      548055.200;      795852.700;      584211.918;       57206.305 ( 9.792 %);    130.593
       IEX;         234.375;           0.229;           0.000;        100;         10;      956166.800;     1023558.300;      960899.215;       14670.163 ( 1.527 %);     79.398
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      479325.600;      595801.700;      506351.876;       35878.461 ( 7.086 %);    150.674
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      509281.300;      624056.300;      544357.773;       41582.874 ( 7.639 %);    140.154
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      482445.000;      651715.700;      532742.379;       45884.968 ( 8.613 %);    143.210
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      657830.800;      869377.100;      710110.397;       50562.184 ( 7.120 %);    107.440
