     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      132407.300;      255893.600;      158072.988;       33672.498 (21.302 %);    482.650
       IKJ;         234.375;           0.229;           0.000;        100;         10;      134107.300;      341281.000;      179665.439;       50837.468 (28.296 %);    424.645
       IEX;         234.375;           0.229;           0.000;        100;         10;      123089.300;      363857.200;      206243.845;       62507.565 (30.308 %);    369.921
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      159819.600;      489180.400;      240711.603;       72901.548 (30.286 %);    316.952
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      186676.800;      387237.900;      209558.461;       39079.436 (18.648 %);    364.070
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      186893.000;      271266.300;      192807.642;       15777.608 ( 8.183 %);    395.700
     CBLAS;         234.375;           0.229;           0.000;        100;         10;       51015.100;     2232867.700;      117239.839;      379792.482 (323.945 %);    650.751
