     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      894199.600;     1071895.200;      907916.906;       40337.393 ( 4.443 %);     84.032
       IKJ;         234.375;           0.229;           0.000;        100;         10;      108880.300;      113103.700;      109459.891;         958.677 ( 0.876 %);    697.004
       IEX;         234.375;           0.229;           0.000;        100;         10;      118867.300;      120552.300;      119564.521;         430.039 ( 0.360 %);    638.099
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      165785.300;      174158.400;      167357.539;        2351.165 ( 1.405 %);    455.874
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      151416.000;      152457.300;      151644.870;         254.114 ( 0.168 %);    503.109
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      151241.000;      151999.400;      151504.827;         174.929 ( 0.115 %);    503.574
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      653271.900;      657602.300;      653657.573;         736.977 ( 0.113 %);    116.719
