     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      613279.700;      808387.600;      663190.555;       55699.705 ( 8.399 %);    115.041
       IKJ;         234.375;           0.229;           0.000;        100;         10;      127334.000;      128414.200;      127771.006;         280.023 ( 0.219 %);    597.115
       IEX;         234.375;           0.229;           0.000;        100;         10;      127158.400;      128247.500;      127391.173;         220.168 ( 0.173 %);    598.895
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      139267.100;      140239.200;      139430.088;         197.751 ( 0.142 %);    547.184
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      158831.700;      160064.400;      159078.394;         231.160 ( 0.145 %);    479.600
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      157865.800;      158241.100;      158016.997;         129.550 ( 0.082 %);    482.821
     CBLAS;         234.375;           0.229;           0.000;        100;         10;       50844.300;     2151470.200;      114626.742;      365649.295 (318.991 %);    665.586
