     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      921813.600;     1133509.400;      991379.761;       63246.244 ( 6.380 %);     76.957
       IKJ;         234.375;           0.229;           0.000;        100;         10;      524037.000;      525200.900;      524515.348;         270.302 ( 0.052 %);    145.456
       IEX;         234.375;           0.229;           0.000;        100;         10;      522765.300;      915983.600;      611048.976;       82336.037 (13.475 %);    124.857
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      463375.300;      471507.300;      465883.942;        1173.962 ( 0.252 %);    163.762
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      480882.700;      488588.700;      487211.797;        1781.272 ( 0.366 %);    156.593
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      458160.800;      464079.300;      462481.952;         980.695 ( 0.212 %);    164.966
     CBLAS;         234.375;           0.229;           0.000;        100;         10;       50449.900;     2143736.900;      114375.994;      364308.621 (318.518 %);    667.045
