     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      849947.300;      989753.000;      891475.218;       42928.830 ( 4.815 %);     85.582
       IKJ;         234.375;           0.229;           0.000;        100;         10;      136306.300;      259734.700;      157668.830;       29199.754 (18.520 %);    483.887
       IEX;         234.375;           0.229;           0.000;        100;         10;      136458.200;      215934.300;      150749.630;       24591.312 (16.313 %);    506.097
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      432340.200;      534869.100;      461315.385;       33729.515 ( 7.312 %);    165.383
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      742482.000;     1294055.600;      894553.736;      154972.436 (17.324 %);     85.287
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      134964.500;      237827.000;      148641.309;       26963.692 (18.140 %);    513.276
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      657355.300;      790587.400;      705451.155;       48155.907 ( 6.826 %);    108.149
