     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      612224.800;      704838.800;      623917.821;       19324.283 ( 3.097 %);    122.282
       IKJ;         234.375;           0.229;           0.000;        100;         10;      127103.500;      192088.400;      134213.752;       19296.965 (14.378 %);    568.451
       IEX;         234.375;           0.229;           0.000;        100;         10;      127037.400;      127574.800;      127257.324;         146.952 ( 0.115 %);    599.525
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      162863.300;      164023.800;      162993.524;         217.876 ( 0.134 %);    468.080
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      163108.200;      165208.600;      163552.485;         541.584 ( 0.331 %);    466.480
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      157228.100;      187860.000;      159337.076;        5738.977 ( 3.602 %);    478.821
     CBLAS;         234.375;           0.229;           0.000;        100;         10;       50326.600;     2058370.400;      111319.433;      349529.976 (313.988 %);    685.361
