     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      983079.000;     1467730.400;     1229653.939;      137349.070 (11.170 %);     62.045
       IKJ;         234.375;           0.229;           0.000;        100;         10;      523026.300;      990571.700;      581755.476;       92897.977 (15.969 %);    131.144
       IEX;         234.375;           0.229;           0.000;        100;         10;      649430.200;      798915.100;      674387.203;       42091.212 ( 6.241 %);    113.131
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      467910.000;      634170.800;      541386.894;       52700.962 ( 9.734 %);    140.923
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      498048.100;      629946.900;      551043.200;       51442.971 ( 9.336 %);    138.454
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      468932.600;      602872.600;      516170.885;       45562.401 ( 8.827 %);    147.808
     CBLAS;         234.375;           0.229;           0.000;        100;         10;       50311.500;     2417903.000;      128284.770;      411201.561 (320.538 %);    594.723
