     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      885400.300;      927811.600;      889095.561;        9083.787 ( 1.022 %);     85.811
       IKJ;         234.375;           0.229;           0.000;        100;         10;      523662.400;      828851.100;      555521.167;       74329.060 (13.380 %);    137.338
       IEX;         234.375;           0.229;           0.000;        100;         10;      652528.500;     1164782.500;      764167.579;      173912.209 (22.758 %);     99.839
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      467438.700;      656879.600;      518735.506;       53065.700 (10.230 %);    147.077
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      485175.200;      626414.900;      495010.721;       25566.494 ( 5.165 %);    154.126
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      460223.800;      564131.600;      467620.082;       18687.787 ( 3.996 %);    163.154
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      653536.200;      695625.300;      661630.752;        9227.553 ( 1.395 %);    115.312
