     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         234.375;           0.229;           0.000;        100;         10;      891655.500;      996933.800;      899626.833;       18430.212 ( 2.049 %);     84.806
       IKJ;         234.375;           0.229;           0.000;        100;         10;      539085.300;     1061309.100;      642733.830;      133570.340 (20.782 %);    118.702
       IEX;         234.375;           0.229;           0.000;        100;         10;      530578.900;      536551.300;      531894.694;        1541.124 ( 0.290 %);    143.438
   UNROLL4;         234.375;           0.229;           0.000;        100;         10;      460167.000;      468320.600;      466953.209;        1676.278 ( 0.359 %);    163.387
   UNROLL8;         234.375;           0.229;           0.000;        100;         10;      481786.000;      520674.100;      489065.327;        6018.717 ( 1.231 %);    155.999
  UNROLL16;         234.375;           0.229;           0.000;        100;         10;      456437.000;      464494.400;      463314.676;        2053.001 ( 0.443 %);    164.670
     CBLAS;         234.375;           0.229;           0.000;        100;         10;      653399.300;      669524.800;      654800.173;        2725.906 ( 0.416 %);    116.515
