     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         559.519;          10.020;          13.800;          10.208;           0.646 ( 6.330 %);  74740.254
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        1298.704;          21.340;          23.420;          21.472;           0.352 ( 1.637 %);  35531.629
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         722.125;          28.000;          32.760;          28.210;           0.818 ( 2.900 %);  27044.710
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         652.686;          26.260;          28.560;          26.402;           0.389 ( 1.473 %);  28897.232
