     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        1150.750;          14.880;          18.180;          15.030;           0.571 ( 3.797 %);  50760.085
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;         549.405;          14.840;          17.680;          14.993;           0.485 ( 3.237 %);  50887.303
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        1131.176;          15.420;          18.340;          15.628;           0.499 ( 3.193 %);  48817.237
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         410.205;          15.400;          18.140;          15.577;           0.463 ( 2.973 %);  48978.683
