     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         521.832;           9.980;          13.520;          10.167;           0.605 ( 5.952 %);  75043.225
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;         490.872;          16.540;          18.820;          16.691;           0.385 ( 2.307 %);  45709.880
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         470.384;          12.420;          14.140;          12.547;           0.289 ( 2.300 %);  60808.139
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         930.174;          11.620;          14.720;          11.743;           0.535 ( 4.559 %);  64969.555
