     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         387.354;          69.280;          72.920;          69.602;           0.605 ( 0.870 %);  10961.487
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;         375.047;          69.860;          71.560;          70.102;           0.281 ( 0.401 %);  10883.211
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         744.860;          69.840;          71.260;          70.098;           0.232 ( 0.331 %);  10883.963
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         819.409;          69.960;          71.400;          70.205;           0.236 ( 0.336 %);  10867.333
