     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         417.805;          14.880;          20.840;          15.121;           1.027 ( 6.794 %);  50454.914
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        1042.273;          14.740;          16.140;          14.862;           0.236 ( 1.586 %);  51335.539
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         558.427;          15.480;          17.120;          15.636;           0.271 ( 1.732 %);  48794.531
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         800.202;          15.420;          16.900;          15.553;           0.249 ( 1.599 %);  49053.115
