     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         628.424;          74.240;          76.380;          74.524;           0.353 ( 0.474 %);  10237.550
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;         786.419;          51.880;          52.920;          52.015;           0.177 ( 0.340 %);  14667.810
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         834.946;          38.340;          40.820;          38.550;           0.414 ( 1.074 %);  19790.751
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         492.025;          38.460;          39.660;          38.612;           0.197 ( 0.510 %);  19759.066
