     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         758.811;          74.500;          75.920;          74.705;           0.245 ( 0.327 %);  10212.634
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;         791.535;          67.220;          68.680;          67.589;           0.255 ( 0.377 %);  11287.908
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         706.472;          67.380;          68.160;          67.574;           0.143 ( 0.211 %);  11290.439
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         345.657;          67.040;          68.000;          67.382;           0.181 ( 0.268 %);  11322.529
