     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         662.716;          67.540;          70.800;          67.821;           0.545 ( 0.803 %);  11249.375
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;         730.652;          67.840;          69.080;          68.210;           0.221 ( 0.324 %);  11185.106
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         499.034;          68.060;          70.060;          68.298;           0.333 ( 0.488 %);  11170.813
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        1020.693;          67.380;          68.280;          67.605;           0.165 ( 0.244 %);  11285.277
