     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         448.574;          73.500;          74.540;          73.681;           0.185 ( 0.251 %);  10354.600
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        1084.893;          66.280;          67.000;          66.492;           0.136 ( 0.204 %);  11474.238
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         464.590;          67.120;          68.100;          67.328;           0.179 ( 0.266 %);  11331.702
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         444.213;          67.680;          68.700;          67.980;           0.178 ( 0.262 %);  11222.999
