     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         682.317;          68.080;          71.560;          68.396;           0.580 ( 0.849 %);  11154.679
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;         858.618;          67.840;          68.660;          68.318;           0.194 ( 0.283 %);  11167.543
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         326.405;          68.240;          69.800;          68.598;           0.263 ( 0.383 %);  11121.959
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         347.085;          67.660;          68.740;          67.900;           0.188 ( 0.277 %);  11236.222
