     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;         487.795;          77.000;          79.260;          77.147;           0.385 ( 0.499 %);   9889.468
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        1176.208;          23.400;          25.420;          23.558;           0.343 ( 1.457 %);  32385.328
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;         576.956;          20.260;          22.180;          20.372;           0.326 ( 1.603 %);  37451.287
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;         375.172;          23.100;          26.280;          23.456;           0.522 ( 2.224 %);  32526.745
