     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        3186.526;         102.980;         150.140;         112.381;          13.668 (12.162 %);   6788.889
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        3394.207;          37.100;        1366.640;          77.611;         231.404 (298.159 %);   9830.312
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        5076.970;          39.020;          47.420;          40.063;           1.833 ( 4.575 %);  19043.478
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        3546.643;          41.340;          44.240;          41.669;           0.488 ( 1.171 %);  18309.482
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        5241.779;          24.360;       35446.280;        1097.840;        6166.149 (561.662 %);    694.946
