     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        2925.714;          12.900;          15.880;          13.047;           0.510 ( 3.907 %);  58475.014
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        2601.923;          20.960;          23.740;          21.206;           0.469 ( 2.210 %);  35977.425
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;       42521.139;          14.300;          16.260;          14.412;           0.335 ( 2.324 %);  52939.573
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        6691.409;          13.140;          14.660;          13.255;           0.256 ( 1.930 %);  57557.958
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        5060.108;          22.360;       57119.360;        1752.959;        9939.242 (566.998 %);    435.229
