     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;       10198.727;          90.560;          97.380;          90.971;           1.157 ( 1.272 %);   8386.631
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        2385.852;          85.340;          87.660;          85.598;           0.389 ( 0.454 %);   8913.033
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        2949.208;          87.140;          87.800;          87.333;           0.139 ( 0.160 %);   8735.948
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        4957.077;          87.120;          88.320;          87.361;           0.210 ( 0.240 %);   8733.160
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        7636.396;          93.260;         168.260;          95.861;          12.998 (13.559 %);   7958.792
