     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        2703.431;          90.280;          92.920;          90.544;           0.442 ( 0.488 %);   8426.151
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        4704.819;          83.680;          85.200;          83.998;           0.254 ( 0.303 %);   9082.875
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        3634.067;          83.660;          84.600;          83.939;           0.170 ( 0.203 %);   9089.236
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        4246.236;          83.700;          84.700;          83.947;           0.188 ( 0.224 %);   9088.383
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        7645.866;          24.260;       27969.940;         871.298;        4864.683 (558.326 %);    875.635
