     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        1936.269;          13.140;          15.200;          13.254;           0.352 ( 2.656 %);  57563.222
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        3739.788;          37.500;          92.300;          39.332;           9.509 (24.177 %);  19397.662
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        3002.200;          40.160;          42.700;          40.344;           0.432 ( 1.072 %);  18911.023
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        2696.342;          41.020;          70.340;          54.394;          11.466 (21.080 %);  14026.185
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        1659.590;          21.640;       52991.340;        1628.198;        9220.588 (566.306 %);    468.579
