     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        7320.894;          83.660;          86.260;          83.921;           0.435 ( 0.519 %);   9091.205
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        2799.574;          84.220;          84.960;          84.444;           0.142 ( 0.168 %);   9034.896
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        4841.875;          83.680;          85.200;          83.895;           0.264 ( 0.314 %);   9094.029
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;       33123.979;          83.680;          85.160;          83.902;           0.255 ( 0.304 %);   9093.241
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        2031.498;          93.340;         171.400;          96.133;          13.515 (14.059 %);   7936.263
