     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        8917.718;          84.280;         137.580;         103.962;          11.335 (10.903 %);   7338.608
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;       52606.639;          88.640;         137.480;         103.139;          12.446 (12.068 %);   7397.212
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        1525.342;          87.480;         116.060;          89.652;           6.312 ( 7.041 %);   8509.999
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        2578.894;          87.340;          89.420;          87.602;           0.346 ( 0.395 %);   8709.113
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        2051.529;          92.260;         354.420;         100.568;          45.572 (45.315 %);   7586.313
