     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        1697.363;          75.800;          99.440;          77.562;           4.850 ( 6.253 %);   9836.534
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        6885.851;          76.240;          78.020;          76.555;           0.303 ( 0.396 %);   9965.959
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        3053.694;          76.040;          77.800;          76.272;           0.294 ( 0.386 %);  10002.941
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;       35335.939;          75.860;          77.400;          76.171;           0.252 ( 0.331 %);  10016.153
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        2835.133;         121.000;         255.080;         125.311;          23.296 (18.591 %);   6088.372
