     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;       13189.252;          88.840;          91.220;          89.116;           0.397 ( 0.445 %);   8561.160
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        5667.622;          83.740;          84.860;          83.951;           0.206 ( 0.246 %);   9087.924
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        3969.075;          83.680;          85.020;          83.939;           0.235 ( 0.280 %);   9089.170
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        4733.966;          83.700;          84.360;          83.960;           0.164 ( 0.196 %);   9086.940
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        7106.579;          94.700;         173.200;          97.356;          13.616 (13.986 %);   7836.565
