     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        1557.631;         102.480;         105.140;         102.762;           0.449 ( 0.437 %);   7424.348
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        2428.740;          91.400;          92.500;          91.644;           0.198 ( 0.217 %);   8325.012
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        1298.345;          90.220;          91.640;          90.628;           0.268 ( 0.296 %);   8418.375
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        2670.196;          90.340;          91.680;          90.662;           0.245 ( 0.271 %);   8415.223
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        2775.851;         122.620;         201.720;         125.284;          13.722 (10.953 %);   6089.668
