     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;       17902.015;          17.300;          24.680;          17.588;           1.277 ( 7.261 %);  43378.708
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        4426.794;          18.400;          22.200;          18.624;           0.694 ( 3.728 %);  40966.191
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        3352.275;          17.000;          20.420;          17.185;           0.584 ( 3.397 %);  44396.054
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;        7209.444;          17.100;          19.840;          17.307;           0.459 ( 2.652 %);  44082.015
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        5144.722;          22.160;       29544.060;         916.993;        5139.062 (560.425 %);    832.001
