     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.562;           0.002;           0.000;        100;         50;        6170.091;          16.460;          21.760;          16.670;           0.914 ( 5.485 %);  45768.046
   UNROLL4;           1.562;           0.002;           0.000;        100;         50;        4677.278;          16.400;          17.420;          16.508;           0.173 ( 1.050 %);  46214.989
   UNROLL8;           1.562;           0.002;           0.000;        100;         50;        1587.853;          17.700;          22.980;          17.911;           0.914 ( 5.103 %);  42596.356
  UNROLL16;           1.562;           0.002;           0.000;        100;         50;       19754.530;          17.700;          19.120;          17.801;           0.251 ( 1.412 %);  42858.848
     CBLAS;           1.562;           0.002;           0.000;        100;         50;        5837.213;          24.000;       28071.600;         874.269;        4882.399 (558.455 %);    872.660
